polyclinic,date,time,patientCount
Ang Mo Kio,2017-12-18,09:30,95
Ang Mo Kio,2017-12-18,09:35,121
Ang Mo Kio,2017-12-18,09:40,121
Ang Mo Kio,2017-12-18,09:45,121
Ang Mo Kio,2017-12-18,09:50,133
Ang Mo Kio,2017-12-18,09:55,133
Ang Mo Kio,2017-12-18,10:00,133
Ang Mo Kio,2017-12-18,10:05,140
Ang Mo Kio,2017-12-18,10:10,140
Ang Mo Kio,2017-12-18,10:15,140
Ang Mo Kio,2017-12-18,10:20,138
Ang Mo Kio,2017-12-18,10:25,138
Ang Mo Kio,2017-12-18,10:30,138
Ang Mo Kio,2017-12-18,10:35,149
Ang Mo Kio,2017-12-18,10:40,149
Ang Mo Kio,2017-12-18,10:45,149
Ang Mo Kio,2017-12-18,10:50,160
Ang Mo Kio,2017-12-18,10:55,160
Ang Mo Kio,2017-12-18,11:00,160
Ang Mo Kio,2017-12-18,11:05,171
Ang Mo Kio,2017-12-18,11:10,171
Ang Mo Kio,2017-12-18,11:15,171
Ang Mo Kio,2017-12-18,11:20,179
Ang Mo Kio,2017-12-18,11:25,179
Ang Mo Kio,2017-12-18,11:30,179
Ang Mo Kio,2017-12-18,11:35,178
Ang Mo Kio,2017-12-18,11:40,178
Ang Mo Kio,2017-12-18,11:45,178
Ang Mo Kio,2017-12-18,11:50,188
Ang Mo Kio,2017-12-18,11:55,188
Ang Mo Kio,2017-12-18,13:30,113
Ang Mo Kio,2017-12-18,13:35,92
Ang Mo Kio,2017-12-18,13:40,92
Ang Mo Kio,2017-12-18,13:45,92
Ang Mo Kio,2017-12-18,13:50,99
Ang Mo Kio,2017-12-18,13:55,99
Ang Mo Kio,2017-12-18,14:00,99
Ang Mo Kio,2017-12-18,14:05,116
Ang Mo Kio,2017-12-18,14:10,116
Ang Mo Kio,2017-12-18,14:15,116
Ang Mo Kio,2017-12-18,14:20,141
Ang Mo Kio,2017-12-18,14:25,141
Ang Mo Kio,2017-12-18,14:30,141
Ang Mo Kio,2017-12-18,14:35,158
Ang Mo Kio,2017-12-18,14:40,158
Ang Mo Kio,2017-12-18,14:45,158
Ang Mo Kio,2017-12-18,14:50,158
Ang Mo Kio,2017-12-18,14:55,158
Ang Mo Kio,2017-12-18,15:00,158
Ang Mo Kio,2017-12-18,15:05,171
Ang Mo Kio,2017-12-18,15:10,171
Ang Mo Kio,2017-12-18,15:15,171
Ang Mo Kio,2017-12-18,15:20,174
Ang Mo Kio,2017-12-18,15:25,174
Ang Mo Kio,2017-12-18,15:30,174
Ang Mo Kio,2017-12-18,15:35,177
Ang Mo Kio,2017-12-18,15:40,177
Ang Mo Kio,2017-12-18,15:45,177
Ang Mo Kio,2017-12-18,15:50,165
Ang Mo Kio,2017-12-18,15:55,165
Ang Mo Kio,2017-12-19,08:00,0
Ang Mo Kio,2017-12-19,08:05,19
Ang Mo Kio,2017-12-19,08:10,19
Ang Mo Kio,2017-12-19,08:15,19
Ang Mo Kio,2017-12-19,08:20,56
Ang Mo Kio,2017-12-19,08:25,56
Ang Mo Kio,2017-12-19,08:30,56
Ang Mo Kio,2017-12-19,08:35,66
Ang Mo Kio,2017-12-19,08:40,66
Ang Mo Kio,2017-12-19,08:45,66
